Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_1210	24.17	15.61	26.4	22.29	19.29	15.82	15.23	19.92	21.46	17.93	17.84	16.93	14.95	15.92	19.5
transcript_1211	3.06	7.99	9.91	1.38	9.46	12.41	2.25	3.04	1.84	2.59	8.38	7.26	1.97	8.02	1.44
transcript_1212	9.61	9.12	12.12	10.22	6.51	5.37	5.53	5.28	5.49	7.69	6.09	7.3	5.08	5.25	5.65
transcript_1213	5.1	7.04	7.66	4.46	4.73	3.06	4.34	5.42	5.51	5.31	6.87	4.52	5.09	4.66	4.62
transcript_1214	10.1	10.17	9.67	7.95	14.81	15.85	13.42	10.1	9.62	12.61	7.45	6.74	6.61	5.16	7.64
transcript_1216	40	40.63	50.43	33.06	49.53	34.54	25.93	40.41	25.86	26.3	33.1	30	30.59	22.49	31.57
transcript_1217	0.4	4.88	13.96	0.69	3.62	0.74	2.82	5.32	0.49	11.77	9.77	5	4.39	4.4	11.57
transcript_1218	66.95	85.14	60.33	46.23	71.05	82.01	68.89	0	45.58	74.38	35.98	62.13	0	0	47.22
transcript_1219	34.86	42.71	54.98	40.97	65.57	53.8	57.09	51.47	54.77	48.97	78.15	47.3	54.52	35.85	50.26
transcript_122	12.53	13.43	15.56	12.51	12.91	10.72	12.72	15.13	13.97	11.56	12.5	13.02	10.53	9.91	12.72
transcript_1220	3.77	4.22	5.16	4.23	4.35	4.1	3.4	5.08	4.34	2.03	4.94	3.25	5.33	4.11	4.36
transcript_1221	1.18	0.4	6.8	0.95	5.9	0.82	4.05	11.7	3.31	6.75	4.9	18.14	0.97	2.65	37.75
transcript_1223	12.41	12.79	14.73	9.34	11.35	12.53	16.06	16.07	15.7	14.88	17.83	11.88	20.2	19.57	18.84
transcript_1224	1.71	24.57	40.82	1180.68	4.53	789.25	2.96	512.23	432.73	3.12	261.49	3.84	3.49	5.64	296.15
transcript_1225	66.84	54.93	81.43	69.34	35.13	43.14	33.64	41.28	38.57	66.96	52.83	50.65	75.44	58.43	63.24
transcript_1226	24.21	30.1	33.62	19.77	22.72	16.18	16.6	13.78	20.66	24.88	15.44	12.71	11.3	9.87	12.25
transcript_1227	3.86	1.38	15.87	1.97	5.83	12.95	7.16	25.69	1.07	2.81	2.64	1.98	1.22	0	2.79
transcript_1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1229	31.56	29.32	25.77	12.64	12.02	18.23	13.9	15.03	14.98	18.66	17.11	15.14	8.88	10.26	17.08
transcript_123	11.1	13.74	13.93	6.26	10.25	5.96	5.67	3.54	7.71	8.79	7.3	4.89	4.02	2.34	5.39
transcript_1230	72.99	88.53	86.4	55.15	50.53	43.38	33.35	17.93	22.88	24.36	32.94	23.01	9.45	11.71	11.83
transcript_1231	5	4.35	6.9	5.35	5.13	4.5	6.66	6.79	5.97	3.97	5.6	7.49	20.76	21.72	11.99
transcript_1232	126.61	121.79	1.55	101.76	83.35	72.56	104.33	62.77	11.85	2.94	9.02	51.82	0.19	0	0
transcript_1233	66.32	76.62	76.22	71.35	64.23	59.36	50.84	60.24	61.62	56.08	55.56	52.38	49.2	47.79	56.01
